'tweet_id';'hashtag'
561936821777870848;'NoPodéis'
561936822906159104;'selfie'
561936822906159104;'Fotocopia'
561936822906159104;'Cliché'
561936829004668928;'NoPodeis'
561936831382847488;'NoPodeis'
561936834067189761;'Tecnologia'
561936851498729472;'NoPodeis'
561936858423521283;'NoPodeis'
561936858423521283;'Podemos'
561936863234359297;'podemos'
561936863234359297;'NoPodeis'
561936867562893314;'NoPodeis'
561936867562893314;'UE'
561936867562893314;'Podemos'
561936880892403713;'EsAhora31E'
561936892028280832;'ABCdelFascismo'
561936891906637824;'NoPodeis'
561936894142201856;'Podemos'
561936904023998466;'NoPodeis'
561936906762870784;'Podemos'
561936906762870784;'NoPodeis'
561936910441271297;'podemos'
561936910441271297;'NoPodeis'
561936934801801218;'L6Nmonedero'
561936945115561984;'TodosConSergio'
561936945115561984;'YOSOYSERGIO'
561936949133737985;'L6Nmarchapodemos'
561936955311927296;'NoPodeis'
561936958755446785;'ControlObrero'
561936963776028672;'EsAhora31E'
561936966178975744;'podemos'
561936984403636224;'EsAhora31E'
561936995963117568;'EsAhora31E'
561937003806474240;'ABCdelFascismo'
561937016339070977;'NoPodeis'
561937016628457472;'podemos'
561937016628457472;'NoPodeis'
561937020722089984;'NoPodeis'
561937022009753600;'NoPodéis'
561937022999625728;'EsAhora31E'
561937026061459456;'ABCdelFascismo'
561937028619980800;'ABCdelFascismo'
561937031673425920;'Podemos'
561937035456290816;'podemos'
561937035456290816;'NoPodeis'
561937035603505152;'ABCdelFascismo'
561937042448584707;'Podemos'
561937042448584707;'NoPodeis'
561937050317103104;'Podemos'
561937050317103104;'Madrid'
561937050157731841;'NoPodeis'
561937052904980480;'nopodeis'
561937053332803584;'Podemos'
561937053332803584;'Madrid'
561937054033260545;'podemos'
561937054033260545;'NoPodeis'
561937056201728002;'Podemos'
561937056201728002;'Madrid'
561937063252344832;'Podemos'
561937063252344832;'NoPodéis'
561937082063806464;'ABCdelFascismo'
561937088753729537;'selfie'
561937088971829248;'Podemos'
561937099130404864;'NoPodeis'
561937102389379074;'TodoValeContraPodemos'
561937112854188033;'España'
561937122538848256;'31e'
561937122962448384;'MariaDelPilarHurtado'
561937137827057664;'NoPodeis'
561937137827057664;'Pesaos'
561937137827057664;'dejaquevotealquemesalgadelciruelo'
561937144642826240;'NoPodeis'
561937144642826240;'SiSePuede'
561937144642826240;'Podemos'
561937144642826240;'Syriza'
561937147616575489;'NoPodeis'
561937152712642561;'NoPodeis'
561937156156174337;'Podemos'
561937156156174337;'pp'
561937156156174337;'PSOE'
561937160354664448;'2InformeMorelos'
561937169955426304;'ABCdelFascismo'
561937176381100034;'nopodeis'
561937176381100034;'nopodeis'
561937183276552192;'MariaDelPilarHurtado'
561937194559213569;'ABCdelFascismo'
561937196887056386;'SiPodemos'
561937201534361601;'NoPodeis'
561937202444517377;'NoPodeis'
561937204348715008;'NoPodeis'
561937211877523456;'NoPodeis'
561937212917682177;'NoPodeis'
561937232056295424;'podemos'
561937232056295424;'NoPodeis'
561937244542750720;'Podemos'
561937244542750720;'NoPodéis'
561937247185149952;'podemos'
561937247185149952;'TicTacTicTac'
561937256425226240;'TodoValeContraPodemos'
561937264566353920;'NoPodeis'
561937273261146112;'UnCiudadanoEjemplar'
561937275085676544;'NoPodeis'
561937280483749888;'ABCdelFascismo'
561937282450882560;'NoPodeis'
561937283310694401;'Podemos'
561937286557093888;'podemos'
561937286557093888;'TicTacTicTac'
561937287643009025;'Podemos'
561937290151600128;'podemos'
561937290151600128;'NoPodeis'
561937290486771712;'Podemos'
561937291405692928;'Venezuela'
561937303908913152;'NoPodeis'
561937304152199168;'SandroAGuadalix'
561937304152199168;'SandroPorKiko'
561937304152199168;'RepescaSandro'
561937304152199168;'norepescaolvido'
561937304152199168;'NoRepescaAOlvido'
561937316269535232;'NoPodeis'
561937325123731456;'ABCdelFascismo'
561937327929688064;'MariaDelPilarHurtado'
561937329640980480;'ElMomentoEsAhora'
561937338742632448;'Podemos'
561937347101863937;'Nacional'
561937348842516480;'NoPodeis'
561937353452036096;'3erCulto'
561937362138460166;'Venezuela'
561937365200297984;'NoPodeis'
561937365200297984;'L6Nmarchapodemos'
561937367549108224;'Nart'
561937367549108224;'Podemos'
561937367549108224;'Cs'
561937367549108224;'AlgoPasaEnCs'
561937379305738240;'NoPodeis'
561937390504529921;'Podemos'
561937390504529921;'extremismos'
561937391053963264;'Podemos'
561937391053963264;'NoPodéis'
561937400117878784;'PODEMOS'
561937400117878784;'MarchaDelCambio'
561937400117878784;'31E'
561937405918187520;'ABCdelFascismo'
561937415775207424;'NoPodeis'
561937420753457152;'NoPodeis'
561937424985915392;'EsAhora31E'
561937427850600450;'BarbieConMirtha'
561937429339590656;'SiSePuede'
561937430186840064;'NoPodeis'
561937433265446913;'EsAhora31E'
561937433839689728;'Rajoy'
561937433839689728;'Podemos'
561937434129485825;'Podemos'
561937434129485825;'PodemosLaHienaAlDesnudo'
561937444376166401;'ABCdelFascismo'
561937445680586753;'Venezuela'
561937453914005504;'NoPodeis'
561937456833265666;'EsAhora31E'
561937462927560704;'F1'
561937467457409026;'NoPodeis'
561937484326912001;'Nacional'
561937493109800962;'NoPodeis'
561937494330322944;'NoPodeis'
561937497736105984;'NoPodeis'
561937498176495617;'HappyBirthdayHarryStyles'
561937499422195713;'Nopodeis'
561937510243532800;'España'
561937537103831040;'Podemos'
561937537103831040;'NoPodeis'
561937537481334786;'NoPodeis'
561937540161495041;'F1'
561937553306435584;'Venezuela'
561937555818823680;'hedicho'
561937567340568577;'Podemos'
561937567235719169;'Bankia'
561937570238849025;'porfavordiosito'
561937575276208128;'España'
561937583656407041;'KatyPerry'
561937583656407041;'SuperBowlXLIX'
561937584411406337;'EsAhora31E'
561937588391804929;'NoOlvideis'
561937594280595458;'EsAhora31E'
561937595249475584;'NoPodeis'
561937595505332226;'Podemos'
561937604476932097;'Nacional'
561937607366823936;'EconomiaSolidaria'
561937607366823936;'Podemos'
561937607366823936;'RenovemosElConcejo'
561937608121790464;'PSOE'
561937608121790464;'España'
561937625901060097;'IG_Haiiddy_x13'
561937625901060097;'IG_Haiiddy_x13'
561937630196031488;'PageConPeeedroo'
561937632830427136;'IG_Haiiddy_x13'
561937632830427136;'IG_Haiiddy_x13'
561937635976155137;'F1'
561937636219031552;'BFF'
561937636219031552;'Cleivy02'
561937636219031552;'BFF'
561937636219031552;'Axeliito_x3'
561937641940078593;'BFF'
561937641940078593;'Cleivy02'
561937641940078593;'BFF'
561937641940078593;'Axeliito_x3'
561937645795049472;'NoPodeis'
561937645795049472;'Podemos'
561937647497519104;'BFF'
561937647497519104;'Cleivy02'
561937647497519104;'BFF'
561937647497519104;'Axeliito_x3'
561937652471984128;'BFF'
561937652471984128;'Cleivy02'
561937652471984128;'BFF'
561937652471984128;'Axeliito_x3'
561937658964738049;'SSanta15'
561937658964738049;'TDSCofrade'
561937678120534016;'NoPodéis'
561937680301555712;'Desastre'
561937684252602369;'NoPodeis'
561937684252602369;'15M'
561937687327014915;'L6Nmarchapodemos'
561937703189893120;'NoPodeis'
561937703823224834;'Noalmaltrato'
561937703823224834;'Denuncia'
561937731203637252;'NoPodeis'
561937735175634944;'NoPodeis'
561937747695644672;'NoPodeis'
561937753785782272;'RenovemosElConcejo'
561937753785782272;'Podemos'
561937775591968769;'Venezuela'
561937785847037952;'Podemos'
561937789500272640;'NoPodeis'
561937794940305408;'EsAhora31E'
561937796244705281;'OnomatoSondeo'
561937796630601729;'EsAhora31E'
561937801584054272;'Nopodeis'
561937809494540291;'유키스'
561937809494540291;'더쇼'
561937812367220736;'LaInformacion'
561937822584942593;'ABCdelFascismo'
561937835838935041;'31EMarchaDelCambio'
561937839756427264;'hedicho'
561937839844495360;'NoPodeis'
561937839844495360;'Podemos'
561937843610992640;'NoPodéis'
561937846094024705;'podemos'
561937846094024705;'NoPodeis'
561937849071964160;'NoPodeis'
561937855032074240;'NoPodeis'
561937859423502337;'Venezuela'
561937866084061185;'NoPodeis'
561937869074624512;'EsAhora31E'
561937896694116352;'NoPodeis'
561937899672068098;'NoPodeis'
561937900963889152;'EsAhora31E'
561937902255345664;'JuniorHumildeRD'
561937906202574848;'EsAhora31E'
561937908001558528;'JuniorHumildeRD'
561937912213032960;'EsAhora31E'
561937921272741888;'5mentarios'
561937921272741888;'Syriza'
561937921272741888;'Podemos'
561937922254200834;'NoPodeis'
561937924275851265;'Podemos'
561937924275851265;'Madrid'
561937928092651521;'TodoValeContraPodemos'
561937935516581888;'NoPodeis'
561937951555588096;'RepescadAOlvido'
561937956538417152;'EsAhora31E'
561937958694309888;'España'
561937971776323584;'Venezuela'
561937973126909952;'NoPodeis'
561937985932115969;'NoPodeis'
561937995025383424;'podemos'
561937995025383424;'NoPodeis'
561937996338171906;'유키스'
561937996338171906;'더쇼'
561938001534914560;'Charlas'
561938001534914560;'Candidatos'
561938001534914560;'Podemos'
561938001534914560;'Navarra'
561938002667397120;'AsíNo'
561938007746674689;'Podemos'
561938007746674689;'España'
561938007746674689;'UE'
561938009420206080;'MuerteBlanca'
561938016605057025;'Podemos'
561938039237533696;'NoPodeis'
561938040483237888;'hedicho'
561938049165430785;'podemos'
561938049165430785;'TicTacTicTac'
561938049945583616;'Venezuela'
561938058774593536;'유키스'
561938058774593536;'더쇼'
561938077027819520;'España'
561938077027819520;'Podemos'
561938077027819520;'NoPodeis'
561938082220736512;'PatriciaJaniotFascista'
561938084041093123;'OnomatoSondeo'
561938088126341120;'MuerteBlanca'
561938103884341248;'유키스'
561938103884341248;'더쇼'
561938114722414593;'NoPodeis'
561938125023621120;'NoPodeis'
561938129276641281;'NoPodeis'
561938130916622336;'NoPodeis'
561938138650906625;'유키스'
561938138650906625;'더쇼'
561938142341910529;'NoPodeis'
561938144107712512;'MuerteBlanca'
561938145047228416;'PatriciaJaniotFascista'
561938158099918849;'NoPodeis'
561938175212662784;'31EMarchaDelCambio'
561938175997018114;'sisepuede'
561938179230810112;'NoPodeis'
561938180707213313;'Podemos'
561938181336367104;'ABCdelFascismo'
561938192145055745;'VamosPorLosTunantesSigamosPorTodos'
561938196863676417;'유키스'
561938196863676417;'더쇼'
561938201775190016;'Nacional'
561938213951246336;'podemos'
561938213951246336;'NoPodeis'
561938216409133057;'Podemos'
561938216409133057;'NoPodeis'
561938235170234371;'BBC'
561938235170234371;'Podemos'
561938235170234371;'TVE'
561938243823108096;'EsAhora31E'
561938262609387521;'NoPodeis'
561938274152103936;'Valores'
561938275930484737;'NoPodeis'
561938286735003648;'Podemos'
561938286735003648;'NoPodeis'
561938309933707265;'Parrillada'
561938316527144960;'Podemos'
561938316527144960;'NoPodéis'
561938316745273345;'31EMarchaDelCambio'
561938316950790145;'podemos'
561938316950790145;'TicTacTicTac'
561938320625000449;'NoPodeis'
561938324328165376;'31E'
561938325091913730;'NoPodeis'
561938327881142272;'Podemos'
561938348584218624;'podemos'
561938348584218624;'NoPodeis'
561938349288882176;'Podemos'
561938359455854593;'L6Ncorrupción'
561938359455854593;'L6Nmarchapodemos'
561938359455854593;'L6NpizarraGrecia'
561938407468044290;'MundoMCBO'
561938407468044290;'Venez'
561938414917124096;'RomeoSantos'
561938416854908928;'EMExGamatv'
561938417467289602;'TodoValeContraPodemos'
561938419216306176;'PonteLosTenis'
561938419216306176;'TransformaTuCuerpo'
561938425751044098;'NoPodeis'
561938427902713856;'MundoMCBO'
561938435574075394;'MundoMCBO'
561938437780295681;'MundoMCBO'
561938437780295681;'Ven'
561938447016157184;'MundoMCBO'
561938447359684608;'TopF1'
561938447359684608;'F1'
561938450661003265;'ABCdelFascismo'
561938454704304129;'Nopodeis'
561938462035963905;'NoPodeis'
561938471179517952;'NoPodeis'
561938477747830784;'niIzquierdaNiDerecha'
561938486878408704;'Noticias'
561938493241585665;'F1'
561938493820403713;'Venezuela'
561938498421538816;'Podemos'
561938498421538816;'extremismos'
561938516465446912;'NoPodeis'
561938520802340867;'유키스'
561938520802340867;'더쇼'
561938531225190400;'podemos'
561938531225190400;'NoPodeis'
561938532194066432;'Podemos'
561938532194066432;'NoPodeis'
561938544701485056;'NoPodeis'
561938550363787264;'NoPodeis'
561938557669867520;'economía'
561938573830918144;'NoPodeis'
561938576079060993;'EsAhora31E'
561938580860600320;'NoPodeis'
561938580709580801;'Nacional'
561938585952485377;'Venezuela'
561938601165209600;'NoPodeis'
561938601655934976;'ABCdelFascismo'
561938605837660160;'NoPodeis'
561938623596339200;'NoPodeis'
561938633674866688;'PonteLosTenis'
561938633674866688;'TransformaTuCuerpo'
561938634404683776;'NoPodeis'
561938637143965696;'SushiLovers'
561938637143965696;'Sashimi'
561938646023282690;'RD'
561938646023282690;'internacional'
561938648288223232;'NoPodeis'
561938652218277888;'Podemos'
561938654923616257;'Wert'
561938654923616257;'PP'
561938654923616257;'Podemos'
561938654923616257;'NOal3mas2'
561938662221697026;'HappyBirthdayHarryStyles'
561938662221697026;'Happy21stBirthdayHarry'
561938662221697026;'BRITONEDIRECTION'
561938664331427840;'Podemos'
561938667221286913;'BBC'
561938667221286913;'Podemos'
561938667221286913;'TVE'
561938680605319168;'Podemos'
561938680605319168;'PodemosLaHienaAlDesnudo'
